z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.010843749999999999,4.3143383515371436,0.0,300.10233909423499,0.8677855049936047,0.35450357935432869,3.4293422734255585e-11,7.8003928027972335e-09,0.64549612651266375,1.2148765709971636e-08,2.402772842607381e-07,3.1512534407274189e-08,2.3597368026730124e-09,2.4001766145376175e-102
0.010859374999999999,4.3145939001960256,0.0,300.23583066487504,0.8677341068764403,0.35422851860730392,1.0416493923335915e-10,1.974892668878425e-08,0.64577056214523121,3.6765788291119273e-08,7.5662147943808975e-07,9.7962626253416225e-08,8.044479155910641e-09,4.6560554580380582e-102
0.010874999999999999,4.3159870800361722,0.0,300.54477531665572,0.8674540063425389,0.35372441826287138,3.1837582063923079e-10,5.0084838935900365e-08,0.64627270214134469,1.112822210068369e-07,2.3848311680060542e-06,3.0565128343474848e-07,2.7427896799993524e-08,1.1571149629991598e-101
0.010882812499999998,4.3179208922135066,0.0,300.85145156322733,0.8670655107510556,0.35331518321860539,5.9768076624262002e-10,8.2760926674576052e-08,0.64667938567148642,2.0524151264209482e-07,4.5123936661810007e-06,5.755200479253436e-07,5.4596074247068193e-08,1.9994670150201285e-101
0.010890624999999999,4.3217222099719486,0.0,301.3594912157418,0.8663028538803254,0.35273646068075026,1.1529696150117096e-09,1.4053184804058927e-07,0.64725282130919193,3.8860645001375086e-07,8.9309699176672804e-06,1.1424127629310412e-06,1.1433610945698151e-07,3.5804934263974487e-101
0.0108984375,4.328861438231276,0.0,302.20071865830278,0.8648741335523629,0.35191917915561283,2.2807556583404858e-09,2.4262097617411438e-07,0.6480591557771308,7.4558100631556449e-07,1.809245502839452e-05,2.3367688598662297e-06,2.4536063002330048e-07,6.4408713602777552e-101
0.010906249999999999,4.3418618605527266,0.0,303.59238488443094,0.8622845243780957,0.35076758027604266,4.6479523600986421e-09,4.2296320079190104e-07,0.64918813475889903,1.4402138114661733e-06,3.7028796301431395e-05,4.8569124179148816e-06,5.3143137453503291e-07,1.13852972321921e-100
0.010914062499999998,4.364996459296222,0.0,305.89076208512887,0.8577143949753907,0.34915078694346829,9.9571816870882378e-09,7.4164024613681446e-07,0.65075838275482056,2.7941230286640808e-06,7.5958485391685511e-05,1.0175029165101412e-05,1.1510666978964199e-06,1.9279489383522609e-100
0.010921874999999999,4.4053857345799692,0.0,309.67501211077473,0.8498507367375354,0.34689409299136081,2.3620789295807793e-08,1.3060347037045644e-06,0.65292000541647732,5.4469614911628818e-06,0.00015527168754244676,2.1378750380428896e-05,2.4745372546683653e-06,2.988973656170674e-100
0.010925781249999999,4.4364371642110676,0.0,312.47578252891765,0.8439024797006809,0.34543300043946751,4.2391456261643076e-08,1.7570131750040161e-06,0.65429666485977123,7.7675244512358441e-06,0.00022542388933867371,3.1661229509330852e-05,3.6826528308399286e-06,3.4136925181591215e-100
